id,last_update,length,weight,last_move_datetime,stage_of_life,species,gender,longitude,latitude,CHL,IOP,Temp
288385,2025-08-29T20:41:11.071405Z,5 ft 4 in.,,2014-07-23 11:19:59+00:00,Sub-Adult,Shortfin Mako Shark (Isurus oxyrinchus),Male,-70.97717,40.07382,0.6824575662612915,0.025099992752075195,23.014724731445312
288389,2025-08-29T20:35:23.671061Z,9 ft 9 in.,,2023-12-27 02:22:16+00:00,Sub-Adult,White Shark (Carcharodon carcharias),Male,-77.9517,32.89016,0.21962109764398202,0.016202351415839727,23.628620183698583
288394,2025-08-29T20:33:25.007495Z,9 ft 1 in.,,2017-03-09 07:30:41+00:00,Adult,Blue Shark (Prionace glauca),Male,-74.13608,32.90305,0.2069941759109497,0.006999969482421875,22.65020179748535
288397,2025-08-29T20:37:42.132587Z,11 ft 5 in.,,2019-08-25 16:05:10+00:00,Adult,Shortfin Mako Shark (Isurus oxyrinchus),Female,-93.71147,27.65645,0.18626943904371687,0.013289348319966863,26.535718538976024
288398,2025-08-29T20:41:34.166665Z,5 ft 6 in.,,2013-09-02 05:33:45+00:00,Juvenile,Shortfin Mako Shark (Isurus oxyrinchus),Female,-73.25857,40.47884,1.8381448332203525,0.036198265889425964,22.690348267687092
288400,2025-08-29T20:34:51.440270Z,8 ft 4 in.,,2018-06-17 11:28:28+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Female,-78.67232,31.20153,0.06852950900793076,0.013100147247314453,27.876066207885742
288402,2025-08-29T20:31:46.514684Z,12 ft 9 in.,,2024-11-04 23:11:48+00:00,Sub-Adult,White Shark (Carcharodon carcharias),Female,-76.26251,25.93247,0.21945314152751513,0.016161644764691178,23.628345855404234
288403,2025-08-29T20:35:33.252221Z,12 ft 5 in.,,2021-11-10 00:39:11+00:00,Sub-Adult,White Shark (Carcharodon carcharias),Female,-77.26285,31.97531,0.2189232022037919,0.016652572600422248,23.66552558273922
288407,2025-08-29T20:32:28.947719Z,10 ft,,2019-07-24 22:51:41+00:00,Juvenile,White Shark (Carcharodon carcharias),Female,-63.62264,44.05368,0.20415587386391845,0.016295294309938865,26.081869349960858
288408,2025-08-29T20:32:59.269738Z,9 ft,,2017-05-14 09:18:21+00:00,Adult,Blue Shark (Prionace glauca),Male,-65.34161,31.53621,0.1480634825260278,0.01640352441093155,25.197249987787757
288409,2025-08-29T20:35:15.131149Z,12 ft 4 in.,,2017-03-01 05:54:44+00:00,Adult,Blue Shark (Prionace glauca),Male,-74.0038,33.50317,0.2004603147506714,0.008300065994262695,23.759397506713867
288410,2025-08-29T20:34:26.679400Z,7 ft 5 in.,,2020-08-06 01:41:17+00:00,Adult,Shortfin Mako Shark (Isurus oxyrinchus),Male,-75.82987,31.91072,0.04314037412405014,0.010100126266479492,29.476163864135742
288411,2025-08-29T20:36:00.292949Z,8 ft 9 in.,,2022-07-30 14:44:01+00:00,Sub-Adult,White Shark (Carcharodon carcharias),Male,-66.56389,40.68386,0.21996973915439708,0.016364831425914234,23.633996457978643
